how much reading is in this game,i bought the lil' gator game for my 5 year old daughter and she likes playing it a lot but i have to read everything to her and there is a lot more to read than i thought there would be so i was wondering how much reading is in this game is there a lot a little is reading needed to have fun  i've done a lot of reading for my girl on the gator game and wasn't wanting to do tons of reading on another
do people play nonpixelated,i've seen a lot of people playing nonpixelated which is strange to me because i feel the pixelation adds a lot of charm to the game i love the 'big and crunchy' setting so what do you guys play on
question regarding boat mini game   achivement,hello im having a lot of problems trying to manouver the boat  in  the mini  game of the boat  i cant manouver the boat all im playing currently with  keyboard and mouse because i dont have a joystick    is the mini game this hard  because im playing with keyboard and mouse i didnt have any problems trough the game playing like this  but this mini game is sooo hard to play with keyboard and mouse  does change playing that mini game with controller i want the last 2 achivements tied up to the boat mini game zz
ultrawide fix,tried a hex edit to no avail would love to play this without the black bars
remember this day forever,does anyone have any tips on getting the achievement 'remember this day forever' i'm finding it a bit difficult with a keyboardmy best score has been 20 hits
my thoughts and questions after reaching the top,i've just played and finished this game it was for free on epic game store first the camera is just awful it is by far the biggest reason for me to stop playing after i reached the top after about 1h15m second having no map is a real annoyance for an otherwise extremely pleasant game the compass is pretty useless for me 1 is there a mod which adds a map 2 because i play on egs i don't think there are any achievements right 3 is there a way to turn the camera manually
the last feather bug,hey everyone i'm trying to get all the golden feathers but it looks like i'm blocked at 19 and i don't know why i've looked on internet for all the feathers locations and i just can't find the last one that is missing i don't know wich one btw is this a bug or could someone help me on this please
a few questions,1 is there any promotional content ie anything only available for a limited time or more complicated than just buying dlc 2 is there anything permanently missable even rewards for fulfilling specific conditions 3 is this game identical on all platforms including the switch version having an ingame achievement system 4 are there any bonuses for having save data from a different video game
new features,for a small game that costs 10 dollars and a game that is worth like 2 hours of playtime to complete i think we have what is kind of a complete version of the game however they should add some more secrets achievements or maybe some more open world stuff like cars planes vehicles more characters and more side quests
trading cards,for a game that is very simple relaxing and enjoyable don't you think they should add trading cards first of all you can just make the trading cards just on the certain characters claire bumps into like the rock climbers the dude who lost his watch the guy who sells overpriced feathers and so on second it would be awesome if we can get a badge that shows our appreciation to the game
a short  hike 2,is this be something the devs would consider would be nice to see more fun mini games added like karting and perhaps cave exploration or underwater stuff thanks
saves,how do the saves work  is it manual saves or auto saves at checkpoints or some other method
shouldn't be steam deck verified,title screen says press a and nothing happens at all no bluetooth controller or anything just straight up trying to play on the steam deck does not work
a short hike not loading on my mac,i can open the game from steam but after the initial animation in a circle and the 'humble' logo it's just a blank screen with the spinning beach ball of doom  i end up needing to force quit since the game is not responding and fails to load i have not been able to play the game at all since buying it and am struggling to figure out if there's anything i can do
mac + xbox controller not working,played the game on my windows 10 pc with an xbox controller and it all works properly installed on my mac today so i could play away from the desk but the xbox controller just acts crazy when i press buttons on the main menu abxy do nothing the dpad just makes the menu spaz out right goes down sometimes then left then right then down etc something else launches a steam screen record feature and that's all i can do i can't even go back or make any selections the same controller works perfectly with other games like vampire survivors towerfall big picture mode etc but not this game for some reason tried a beta version as well but that didn't fix the issue it also takes like 23 minutes to get to the main menu from a black screen on mac main menu also says press z to start with controller connected any advice for getting my controller to work though i see this has been an ongoing issue in some old threads edit added additional info
is the music for you on while ciimbing to hawk peak scractchy,i've never had issues with my speakers but it's possible they could be being peaked by the high pitch sounds i suspect the file is too compressed but i haven't ruled out every possibility i had hoped the files would be in a standard format so i could replace them with the bandcamp version but alas they are not
thank you devs,playing a short hike felt like getting a compliment from someone or getting an unexpected gift from a relative i genuinely did not expect a steam game to make me feel so good with no ulterior motives like getting me to purchase lootboxes or whatever it's just genuine positive fun  you guys made the world a bit better thank you
achievements not working in steam,i had this game by gog and finished it now i bought it on steam and wanted to play it again to get the achievements here but even starting again all the achievements are already unlocked inside the game but not in steam how can i unlock it or at least make a complete reset in the game registry so i can do it again please thanks
actually rainbow trout,it's my last fish in the fishing journal which i fish in the deep water for like an hour but still couldn't get any is there any location to make it fish easier
ps4 controller registers as xbox 360 controller,just started playing and for some reason the game registers my dualshock ps4 controller as an xbox 360 one meaning all the button icons are wrong not gamebreaking just annoying also the camera controls are inverted which isnt the biggest deal for this game specifically but there doesnt seem to be a way to invert them any advice on how to fix these issues thank you in advance
how similar,i've been playing a lot of haven park recently with my daughter  i recently came across this game of which looks very similar
mod setting to remove the brown out on distant features,love the game to bits but always find it a bit of a shame the game browns out distant features any time you have a long sightline such as when flying or using a stationary telescope is there any existing mod method of removing this could be this causes single digit fps
postcompletion activities,i have a suggestion i think would be fun to have  easter egg style hunting for some temporary bonus items for example an extra feather that gets spawned in random location on the map possibly with a general area hint similar to those treasure notes the hint notes can have a few like 4 specific spawn locations and a note spawns at one of the preset locations at random so yeah some bonus daily spawns that add something peculiar even like a few different hats skins an extra feather different flight trail effects etc all of which last temporarily like a day in real time  also please the ability to reset the hunt manually it's quite fun to traverse the map just after i have found everything  it feels empty i would like to revisit the game but i've already explored it extensively so would be nice to be able to use that knowledge of the game for some fresh extra activities
游戏能否适配下apple silicon的mac还有支持中文,游戏能否适配下apple silicon的mac还有支持中文
ps4 controller inputs not recognized macbook m1,what more can i say just bought the game on store it says full controller support i boot it up in big picture and my bluetooth connected ps4 controllers inputs are not being recognized at all theyre not recognized in menu not detected in settings and not recognized in game either anyone have any ideas
beachstickball,i currently have 8 hours playtime and i swear about 4 of those has been trying to get to 30 in beachstickball i just can't get passed 25
sound while game is not focused,i wonder if anybody managed to have the sound of the game playing even when the game is not focused  i really want to work study with the music and atmosphere of the game but every time i focus another window like my mail client the sound of the game is muted
cannot play on steam deck,i have a regular steam deck with the latest updates when i launched the game it has press z to start no buttons did anything so i bought up the on screen keyboard and pressed z there which brought me to the next menu in this menu i could not use the touchscreen or the on screen keyboard to move to options  it is completely unplayable i could maybe make a custom control mapping for the inputs in steam but who knows what lies down that rabbit hole when i can't even find out what bindings there are without googling it  i understand that input detection is difficult but the correct answer is not to lock out inputs you should always listen for and respond to any input that the player might use  input detection should be used to prompts only and should automatically switch based on whatever the last type of input received was
will the steam version be identical to the humble original release,and if the steam release receives updates will the humble build be updated as well
golden feathers randomly disappearing,my kid's really been loving this game unfortunately for some reason when she's climbing a lot near hawks peak her golden feather total just vanishes not the normal freezing reheating thing like completely deleted from inventory only fix i can think of is a complete restart with a fresh new game any reason for this ways to avoid or get feathers back
similar game recommendations,really enjoyed this game other games i could recommend with a similar vibe and enjoyable mechanics would be toem grow home and its sequel grow up got any other recommendations
parkour race,i've finished all 3 races and gotten the medal but it didn't give me the race achievement i'm not sure what to do
removing the fog,is there any way to remove the fog this game is aesthetically gorgeous but the core concept of the game is nearly always ruined by the refusal to fully render anything that isn't within a relatively short distance considering i gathered my feathers reached the peak of the mountain and began my highflying victory lap of the world below only to be greeted by a field of tan this really defeats the purpose of the game i want the option to see further once you have more than 10 feathers and access to more places the game becomes an incomprehensible expanse of tan and to a directionally challenged player who is forced into the desired camera angle of the devs that means i have absolutely no idea where anything is ever no way to find out and no way to appreciate the island on a larger scale to get my bearings this really soured me on the game it's a comfy mostly polished gem but the clunky item system and this massive oversight make me hesitate to echo the praise it has been given
humble key still missing,good day it looks like the humble keys are still not up can i get a steam key somehow i would like to experience this game too
chances for more updates,i was really surpriased to find the newer achievements or the multiplayer mod for april sadly didn´t manage to test that out does anybody think the game will add even more stuff down the line even if it´s just small bits or do you prefer a new one dlc me personally for example would love to have separated save files so i could keep my 100 save and also start a new one  i´m all in for anything i love this game
translate game,i love this game so much i wish my cousin could have as much fun as i did but he has a hard time with english i'm willing to translate the text if needed not sure if its something that easy to implement in the game i would translate it to portuguese
transfer achievements from bundle pack,hi i bought the game while ago  and decided to play yesterday so today  i bought on steam but the game opened on the same point as the bundle that i bought  i finished the game but the achievement list didn't updated how can i update my achievement list on steam with the ones that i already got
bug got stuck between rock and wall,got stuck between a rock and the wall next to the beachstickball court screenshot    none of the controls really work the character is stuck in a falling state but i can't even glide out is there a cheat that will teleport me back to the start i'm not very far along but i'd like to not start over
this would be so cool if it had a multiplayer mode,relax with friend ahhhh
could someone offer me a completed save file,hello so i mainly play games for achievements nowadays to keep me moving on from one game to the next and not spend so much time just playing the same game over and over again looking at you endlessly moddable skyrim i finished this game's set of achievements back in february but now the game just pushed out four new ones since then i've switched over to linux and reinstalled windows fresh and today realized that my original completed game was lost to the reformat since it's tucked away in the appdata folder and i wasn't backing that up manually would anyone be able to provide me with a copy of a completed saved file i'm not specifically interested in spending the few hours to redo what i've already done once in this game  thanks
🐦 a short hike 99  a multiplayer mod 🐦,from the dev twitter this was supposed to be some sort of april fools joke but i don't wanna confuse anyone so i'm just gonna drop some facts facts👇 ⭐️ it's a rough mod 🚫 this won't be an official game mode sorry ➡️ test it here
vacation maximized trophy,i think i've got a problem i got all the throphies but the vacation maximized trophy didn't unlock did i do something wrong
black screen apple m1,when launching the game on an apple m1 system all i get is a black screen i’ve come across this issue before and it is relating to the version of unity used in the game other developers i’ve pointed this out to have fixed their games accordingly please consider this thanks
the game keeps crashing upon launch,i managed to play a short hike for a couple of hours but then after closing the game and restarting it it wouldn't launch this happened multiple times and it just won't launch i have tried uninstalling and reinstalling the game also verifying the game's file integrity i don't really know what to do and how to get it to launch
rare fish,out of curiosity has anyone discovered any secret fish i caught every rare fish variant for each of the journal fish but neither npc seemed to care  there's probably nothing more and it's just for personal satisfaction but i wanted to ask if i was missing something  some wholly new special fish that can only be caught with the journal reward  slightly weird that there's zero reward for  actually  completing the journal
arrow keys,is there any way to move without arrow keys because i have a 60 keyboard and you also need arrow keys to get to the options button
ps4 controller on mac help,hello just got this game today and am having a lot of trouble getting my ps4 dual shock controller to work properly on my mac connected with a usb cable i can use the controller in the game if i do not select the ps controller option however the analog stick stops working at full extension so the only way to play is by only slightly moving the analog stick in the direction i want to go if i push it close to the max the game stops reading or wrongly reads the input and my character will either stop moving or go in a different direction if anyone knows how to solve this problem i would really appreciate it thanks
treasure map,where is the sid beach i cant find the beach where a treasure i hidden between two mossy stones
请问游戏存档目录在哪里？,想换台电脑玩，苦于没有云存档，电脑苦手找不到存档，新设备上就是重新开始new game了tt建议开发一下云存档以及更新汉化。we need chinese
is there a lot of parkour,my fingers aren't very nimble i'm not good at parkour games but the story looks delightful how are the controls for the parkourchallenged
boating challenge,i may just be dumb but where is it thanks in advance btw
who added new achievements to this i was at 100,now i have no recourse but to redownload reinstall and replay this ♥♥♥♥♥♥♥ awesome relaxing adorable fun game again what a world
what is wrong with the boating mechanics,i cant do a full 360 by pushing my stick in either direction boating controls are making me wanna not 100 percent this game even though it has been amazing up to this point anyone know what i might be doing wrong
camping permit,it says to do overnight camping at the campsite anyone know what that is thanks
need ost,oh i love the background music is it original or if it's original i wonder if you have the idea of releasing dlc about that
not a scratch not unlocking,my file had a best time of under 30 seconds on the boat challenge before the new achievements were added i went completed the challenge again not as good as my pb but still well under the 45second threshold and it didn't unlock afterward i thought okay it's called 'not a scratch' maybe i have to do it without bumping into anything so i did just that and still nothing am i missing something here or is getting a new pb required for the achievement to trigger
mmmm  release one patch and no new content for over a a year,june 2020 is the first and last patch  yet the game is 'overwhelmingly positive' something doesn't add up did they release the perfect tile out of the gate
hiking questions,1 was there any preorder limited time exclusive content even bonuses for owning a different video game 2 is there anything permanently missable even rewards for playing in a specific way 3 will this game be identical on all platforms including the switch version having an ingame achievement system and if not do you have to go out of your way for them if you intend to fully complete the game 4 will the ps4 trophies be the same as the steam achievements
running shoes location,where are the running shoes located i want to race with avery but i wanted to get the running shoes first i talked to all the runners going around in circles but no clues are to where to get the shoes
any idea what the dev is working on now,a sequel dlc another game entirely
parkour race bug,i did the races out of order and now one of them isn't available for me i did the building one first and then the mountain top now avery only stays at the mountain top race start location and won't give me an option to do the lighthouse race
how do i see the time,trying to get the toast achievement how do i know when it's 5pm
is there no way to change the controls,seems like a really good game but i will remove my brain from my skull with my bare hands if i have to play this with arrow keys literally impossible to actually have fun more than 10 of the time in this game because of these ♥♥♥♥♥♥ controls
epic games sale,any chance that this is going on sale on epic store i would buy it here on sale but i know you make more revenue on epic games store
fish bait,is there a steady supply of fish bait anywhere i'm not having any luck digging any bait up
bug in the parkour achievement,hi everyone   i think i win all the races i found 3 available races because avery gave me a medal i was able to destroy it right away lol  but the achievement did not unlock should i try again the races  or did i miss something  thanks for the help   sachouw
hard puzzles,thanks
hidden cave for shortcut,does anyone realize that there are hidden caves can be a shortcut i found one around the mountain but said it cant be used cause another side is locked has anyone found the other side of it i just found one near the electricity tower that can lead us to the goat's camp
sitting animation,the sitting animation for fishing is really cute and my question is can you get claire to sit without fishing
german language,hello devs any chance in the near future for a german addon
i cant change the items,so i have picked up a stick and now i can not change the item to anything else how do i unequip the stick to my other items
issues with general usb controller,hey so i just bought the game and i started having issues with getting input from my controller i've gotten it to register me pressing the a button once or twice but immediately after it doesn't register anything from it i have tried using the advanced controller configuration in the game and it doesn't really change anything it just isn't recognizing my controller the controller does work on other games i used it for celeste immediately after and had no issues it is being recognized by my computer as a controller  i don't know if it really matters but it is a gamecube controller connected through a usb adapter probably a really stupid and easy solution but i'd really like to play the game with a controller and this is my only controller thanks for any help update still having an issue but i have a better idea on why so anytime i start the game it takes the first input from my controller so i know it is recognizing my controller correctly but after that first input it stops recognizing my controller i opened the community tab while the game was running and then shut it and it recognized one input from my controller again and stopped recognizing again have not really any idea what to do from here i uninstalled and reinstalled the game i am on windows 10 i tried disabling the community tab no dice
i cant change the items,so i have picked up a stick and now i can not change the item to anything else how do i unequip the stick to my other items
really loved this game,i played it one the epic store so i can't write a proper review here so i just wanna let everyone know that this game was amazingly charming lovely and just a great experience and looking at the steam achievemetns there's so much stuff i haven't even seen yet big recommendation to everyone
can't get passed start screen,it says press b0 or something like that what the hell is that
need dlc for sure,just love the game
cannot start the game due to wireless keyboard,when the game boots it starts a game all by itself and then jitters and goes between calling up the options screen and killing claire by controlling her into the falls or over an edge i have yet to start a game i can play and have tried to start one with without an xbox controller i have rebooted the game multiple times
achievements bug,i have finished the game with all the achievements but i got only a few of them i even have screenshots of doing the tasks that require the achievements but game doesn't seem to recognize it i don't get it
world boundary,at the edges of the world i broke the boundary which causes a hillarious speed boost that just shoots you up to the peak with 3 golden feathers
problems with joystick installed,hello on my pc i have a ps2 style controller + a hotas saitek x52 stick and when playing a short hike i cannot proper control  the main character as the saitek hotas mixes with the ps2 controller is there any way to properly play without unisntalling the saitek stick thanks
similar games,so i got this game from being a humble monthly subscriber and what a joy being used to only play violent games i really enjoyed this change of pace can anybody recommend me similar games of exploration and wholesomeness the only requisites are no combat and no farming anything else is fair game
long load time,i used save and quit at the peak now when i use continue from the main menu i get what appears to be an infinite loading screen restarting produces the same result the game shouldn't take long to load should it is there something i can try to fix it
where is the lighthouse parkour,i beat avery three times in the abandoned building parkour and mountaintop parkour  but when i asked for a rematch he only offered me two parkour routines that i've already completed  how can i find the third parkour
beacksticks game achievement,i've been playing beachsticks for 15 mn and don't get me wrong it's fun but did anyone else notice that the longer you play the more a patter emerge your teammate opponent throws the game after either 7 15 or 21 hits it's always these numbers and suddenly he throws the ball way in the back or too much to the right or left to catch  anyone else or is it just me being really bad at the game and finding patterns where there's none
i need help where is the treasure！！！,it says between the mossy stonesand lie upon the sid beachi saw someone said that it was near by climb wallbut i dug everywhere still nothing tt
changing the color of the sun hat,hello when i played on my previous computer i was able to change the color of the ribbon just by talking to the girl but with my new run i can't on the other hand i can now see red islands and rent a speedboat weeeeee am i missing a prerequisite or something  wonderful game
sand castle city province doug ford reference,hahah running for premier so he can exert control over the city that shunned him hahah
xbox one controller not working,title this is like the most common controller people tend to use for games on pcthe store page claims full controller support what am i missing here
obsessed over a sparkling rock,hi  i´m getting obsessed with a sparkling rock i tried to hit it with the pick but doesn´t work  what can i do with that glittering rock ibbco
i need help i cant find or unlock the 3rd race,i dont know where it exactly is i bet the rainy area for lik dozens of time can anyone help
multiplayer,is there going to be a multiplayer mode
is the pretentious warning when disabling the pixel filter really necessary,it's great that you included the option to disable the pixel filter but the giant warning when turning it off is ridiculous  it has zero impact on the gameplay or the narrative it's nothing more than an aesthetic choice  forcing people to click through an info box about how the game will be adversely affected by turning it off is not only insulting but it's not necessary  let your users make their choice without trying to guilt trip them over it
nintendo switch please,i would love to have this on my switch please consider a port i know nintendo is probably a pain in the butt but i know a lot of people would love to have this on switch
took me less then 2 hours with my 5years old kid to finish the game now what,i hope he makes a 2 i thought that was the tutorial and that there was another harder island game was fun amazing  but i want more
how short is the hike,pun intended how short is the game
john romero loved the game,so i was watching this podcast today featuring mr romero and i stumbled upon this little sequence where he voices his appreciation for the game just thought of letting the developers know  i haven't got the chance to play it yet but i'll definitely put it on my list  minute 3434
no 20 feathers achivements,hello guys i have 20 feathers last one i take it with the boat challenge of the update but the game dind't gave me the achievement in steam how can i resolve this problem thanks
french translation offer,hello @grilledcheese hello dev team as many people i discovered your game via humble monthly and i instantly loved it now that it was released on steam i am wondering if you are interested in translating it in french i do offer to translate it for you for free that would be a way for me to thank you for this great present you made to us gamers please let me know if you feel interested even if you don't want to get into this right now my offer will still be available update french translation has been completed and you can download it
save is gone,my save is gone after i install it on a different laptop any way to retrieve that
treasure maps,i have found the map that leads to the lighthouse but i read somewhere that there are 3 i cannot find any information about the other two i feel like i've searched the entire map the only thing i can think of is that i haven't done any of the races yet
the fourth treasure map,where is the fourth treasure map
is it possible to help the friend near the top spoilery,i really want to help him  i have 10 feathers and he won't take 6 of mine  do i just keep getting feathers until he'll take them how can i help him
playable on 32bit linux,hi there  i downloaded this game to my ubuntu 1604 32bit machine and apparently there is only an executable for 64bit systems at least i can only find ashorthikex8664 steam is reporting an missing executable error as it is looking for ashorthikex86 can anyone confirm this would be a pity if the game does not work on 32bit systems thanks tobias
rental boat glitch,hello first of all thanks for such a great game i had the best time playing it the other evening i'm sorry but i can't provide a screenshot for this glitch but i had just parked the rental boat alongside the fisherman's boat and i flew up to talk to him when i was done i went back to the rental boat but i found it compenetrated hopefully this is the right term the fisherman's boat i think this happened because when you leave the rental boat it moves a little so it went partially inside the fisherman's boat i couldn't ride it anymore because just its tip was visible being swallowed for the most part then i started swimming frantically around it hoping it would get unstuck i manged to go inside the fisherman's boat myself and push it out from the inside it took some trial and error because i couldn't see the character anymore since it was hidden
where's the boat rental,i just can't find the bloody thing please help
bug report  got any fish switch version,i'm unable to make a post on bug reports on steam due to owning this game on switch and not steam after taking the boat off the ramp and consequentially breaking it the pelican will fix it for you after they fix it they'll ask if you've got any fish saying yes does not bring up the menu to show them fish as it should closing the game and rebooting it fixed this issue but i just wanted to bring it to your attention
this game is awesome,i just wanted to say this game was worth every penny so very fun if i had one thing against it it would be that the camera flips and then all of a sudden your going flying in a completely different direction than you intended too but that's a very minor issue so dang fun
this game looks amazing,mono path0  'f steamlibrary2 steamapps common a short hike ashorthikedata managed'mono config path  'f steamlibrary2 steamapps common a short hike monobleedingedge etc'initialize engine version 201941f1 e6c045e14e4esubsystems discovering subsystems at path f steamlibrary2 steamapps common a short hike ashorthikedata unitysubsystemsgfxdevice creating device client threaded1direct3d    version  direct3d 110 level 111    renderer nvidia geforce gtx 1080 ti id0x1b06    vendor   null    vram     3072 mb    driver   2621144277begin monomanager reloadassembly completed reload in  0122 secondsd3d11 device created for microsoft media foundation video decoding<ri> initializing input<rihid> failed to create device file 2 the system cannot find the file specified filename  line 55<ri> input initialized<ri> initialized touch supportunloadtime 0481086 mssingleton an instance of quickunitytoolsaudiosoundplayer is needed in the scene so 'resource global singleton soundplayerclone unityenginegameobject' was loaded as a prefab with dontdestroyonload filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35unloading 6 unused serialized files serialized files now loaded 0singleton an instance of timerservicelocator is needed in the scene so 'global singleton timerservicelocator unityenginegameobject' was created with dontdestroyonload filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35timerservicelocator timermanager created a new service in the scene filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35setting up 4 worker threads for enlighten  thread > id 48e8 > priority 1   thread > id 4bc0 > priority 1   thread > id 4688 > priority 1   thread > id 6160 > priority 1 unloadtime 0625949 mssingleton an instance of quickunitytoolsinputuserinputmanager is needed in the scene so 'global singleton quickunitytoolsinputuserinputmanager unityenginegameobject' was created with dontdestroyonload filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35timerservicelocator clearing the cached scene services filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35singleton an instance of customcontrollermanager is needed in the scene so 'global singleton customcontrollermanager unityenginegameobject' was created with dontdestroyonload filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35playerprefsexception could not store preference value  at unityengineplayerprefssetfloat systemstring key systemsingle value 0x00019 in <0dc149e5eb234936a8e8411b3c7fcb83>0   at playerprefsadapter+standardplayerprefssetfloat systemstring key systemsingle value 0x00000 in <60aefd127fa94e068a91fe38c47eaa51>0   at playerprefsadaptersetfloat systemstring key systemsingle value 0x00000 in <60aefd127fa94e068a91fe38c47eaa51>0   at volumesetvolume volume+channel channel systemsingle percent 0x0000d in <60aefd127fa94e068a91fe38c47eaa51>0   at volumeloadvolumeprefs  0x0003b in <60aefd127fa94e068a91fe38c47eaa51>0   at gamesetupstart  0x0000d in <60aefd127fa94e068a91fe38c47eaa51>0  filename <0dc149e5eb234936a8e8411b3c7fcb83> line 0singleton an instance of globaldata is needed in the scene so 'global singleton globaldata unityenginegameobject' was created with dontdestroyonload filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35singleton an instance of servicelocator is needed in the scene so 'global singleton servicelocator unityenginegameobject' was created with dontdestroyonload filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35servicelocator dialoguecontroller located service and caching it filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35timerservicelocator timermanager created a new service in the scene filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35yarn is trying to resettodefaults in this adapter i will not clear things because this should be persistent in this game filename c\buildslave\unity\build\runtime export debug debugbindingsh line 35unloading 56 unused assets to reduce memory usage loaded objects now 3515total 5167781 ms findliveobjects 0210268 ms createobjectmapping 0112160 ms markobjects 4676731 ms  deleteobjects 0168367 ms
